,dal,col,-10.3,col,dal,1,,4-3
,cbj,van,-2.48,van,cbj,1,,2-1
,det,fla,-4.63,fla,fla,,1,3-6
,edm,ott,-6.32,ott,edm,1,,7-2
,min,nyr,-5.77,nyr,nyr,,1,2-4
,phi,nsh,0.39,phi,phi,,1,6-3
,nj,tor,3.73,nj,tor,1,,2-3
,nyi,wsh,-8.05,wsh,wsh,,1,2-3
,sj,stl,-1.87,stl,sj,1,,3-1
,,,,,,,,
2-3-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,buf,mtl,2.66,buf,buf,,1,4-2
,car,cgy,-1.54,cgy,cgy,,1,1-4
,det,tb,-1.95,tb,tb,,1,1-3
,,,,,,,,
2-2-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,sj,ana,-0.12,ana,ana,,1,2-3
,la,ari,1.63,la,la,,1,6-2
,tor,bos,-8.51,bos,tor,1,,4-3
,chi,col,4.91,chi,chi,,1,2-1
,cbj,edm,1.28,cbj,edm,1,,1-5
,dal,wpg,0.11,dal,dal,,1,5-3
,fla,wsh,-8.95,wsh,fla,1,,5-2
,min,nyi,0.06,min,nyi,1,,3-5
,mtl,phi,-4.12,phi,phi,,1,2-4
,stl,nsh,2.75,stl,stl,,1,1-0
,nyr,nj,1.41,nyr,nj,1,,2-3
,ott,pit,-5.57,pit,pit,,1,5-6
,,,,,,,,
