6-14-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,laa,nyy,-5.45,nyy,nyy,3-6,,2,+160.39729519007082,-160.39729519007082
,mia,min,7.81,mia,min,4-6,3,,-202.54316414241163,+202.54316414241163
,oak,mil,-0.45,mil,mil,4-5,,1,+100.0,-100.0
,nym,pit,-9.7,pit,pit,1-3,,4,+244.5632271158497,-244.5632271158497
,,,,,,,,
6-6-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,tb,ari,-3.08,ari,tb,6-4,2,,+126.60873175603875,-126.60873175603875
,atl,sd,-11.67,sd,sd,2-7,,4,+299.0318207186483,-299.0318207186483
,kc,bal,-2.66,bal,bal,1-4,,1,+121.3337243542223,-121.3337243542223
,chc,phi,8.1,chc,chc,6-4,,3,-208.4515731030228,+208.4515731030228
,cle,sea,2.5,cle,cle,3-1,,1,-119.37413672214716,+119.37413672214716
,col,lad,-7.14,lad,col,6-1,3,,+189.55135697349758,-189.55135697349758
,tor,det,5.27,tor,det,0-11,2,,-157.56393829563694,+157.56393829563694
,hou,tex,-14.53,tex,tex,5-6,,5,+406.45378785993023,-406.45378785993023
,laa,nyy,-3.34,nyy,nyy,2-5,,2,+129.97259811823488,-129.97259811823488
,nym,pit,-7.58,pit,pit,1-3,,3,+197.98221648672077,-197.98221648672077
,,,,,,,,
6-5-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,chc,-16.39,chc,ari,3-2,6,,+503.67604928027055,-503.67604928027055
,atl,lad,-10.92,lad,lad,6-12,,4,+276.78961110102205,-276.78961110102205
,nyy,bal,-1.24,bal,bal,1-3,,1,+104.83877631641589,-104.83877631641589
,tor,bos,-1.0,bos,tor,5-4,1,,+102.2393359669759,-102.2393359669759
,chw,det,-6.59,det,det,2-5,,3,+179.5264551908567,-179.5264551908567
,wsh,cin,0.01,wsh,wsh,10-9,,1,-100.0,+100.0
,kc,cle,-7.26,cle,cle,0-7,,3,+191.81331786986945,-191.81331786986945
,col,sd,-3.65,sd,col,10-3,2,,+134.0856854756977,-134.0856854756977
,oak,hou,-8.25,hou,hou,2-5,,3,+211.57890687733504,-211.57890687733504
,laa,pit,-3.48,pit,laa,5-4,2,,+131.8161149862879,-131.8161149862879
,nym,mia,4.95,nym,mia,0-1,2,,-152.64398952931023,+152.64398952931023
,mil,phi,3.44,mil,phi,1-8,2,,-131.28706192739318,+131.28706192739318
,tb,min,4.15,tb,tb,7-5,,2,-140.96471164349586,+140.96471164349586
,sf,stl,1.4,sf,stl,3-6,1,,-106.6005620442176,+106.6005620442176
,sea,tex,-4.82,tex,tex,2-3,,2,+150.6869372284586,-150.6869372284586
,,,,,,,,
6-4-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,chc,-14.73,chc,chc,3-5,,5,+415.6571002513159,-415.6571002513159
,atl,lad,-8.76,lad,lad,0-4,,3,+222.59256733980445,-222.59256733980445
,nyy,bal,-6.54,bal,nyy,8-6,3,,+178.6420650720727,-178.6420650720727
,tor,bos,3.69,tor,bos,4-6,2,,-134.6247164625475,+134.6247164625475
,chw,det,-3.98,det,det,4-7,,2,+138.59100367517857,-138.59100367517857
,wsh,cin,3.15,wsh,cin,3-6,2,,-127.5068410043163,+127.5068410043163
,kc,cle,-4.56,cle,cle,1-7,,2,+146.84290965988333,-146.84290965988333
,col,sd,-0.69,sd,sd,3-4,,1,+100.0,-100.0
,oak,hou,-6.04,hou,hou,5-6,,3,+170.03323609074727,-170.03323609074727
,laa,pit,0.42,laa,pit,7-8,1,,-100.0,+100.0
,nym,mia,2.43,nym,nym,6-4,,1,-118.52526042747913,+118.52526042747913
,mil,phi,-0.06,phi,mil,6-3,1,,+100.0,-100.0
,tb,min,1.96,tb,tb,7-4,,1,-112.95517137650673,+112.95517137650673
,sf,stl,6.34,sf,stl,4-7,3,,-175.14782420649252,+175.14782420649252
,sea,tex,-2.58,tex,tex,4-10,,1,+120.35055433670566,-120.35055433670566
,,,,,,,,
6-3-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,chc,-12.15,chc,chc,0-6,,5,+314.378949549363,-314.378949549363
,atl,lad,-5.93,lad,lad,2-4,,2,+168.19497135753124,-168.19497135753124
,nyy,bal,-3.49,bal,bal,5-6,,2,+131.9486717761576,-131.9486717761576
,tor,bos,0.36,tor,tor,5-2,,1,-100.0,+100.0
,chw,det,-0.31,det,det,3-10,,1,+100.0,-100.0
,wsh,cin,6.05,wsh,cin,2-7,3,,-170.20132500577049,+170.20132500577049
,kc,cle,-1.39,cle,cle,1-6,,1,+106.48976483628462,-106.48976483628462
,col,sd,3.63,col,sd,0-4,2,,-133.81689071857505,+133.81689071857505
,oak,hou,-3.64,hou,hou,2-12,,2,+133.9512281585829,-133.9512281585829
,laa,pit,-4.75,pit,laa,9-2,2,,+149.64289337483203,-149.64289337483203
,nym,mia,-0.44,mia,nym,6-2,1,,+100.0,-100.0
,mil,phi,9.64,mil,phi,3-6,4,,-243.0914244802028,+243.0914244802028
,tb,min,-1.06,min,tb,4-2,1,,+102.88439378955788,-102.88439378955788
,sf,stl,2.09,sf,sf,5-1,,1,-114.47363845816305,+114.47363845816305
,sea,tex,1.59,sea,tex,3-7,1,,-108.72330986106577,+108.72330986106577
,,,,,,,,
6-2-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,hou,-10.25,hou,ari,3-0,4,,+258.5311289488681,-258.5311289488681
,sf,atl,6.92,sf,sf,6-0,,3,-185.474994677399,+185.474994677399
,bos,bal,-0.27,bal,bal,7-12,,1,+100.0,-100.0
,lad,chc,-5.9,chc,chc,2-7,,2,+167.69701251602876,-167.69701251602876
,cin,col,-2.48,col,cin,11-4,1,,+119.13107991956365,-119.13107991956365
,kc,cle,1.19,kc,cle,4-5,1,,-104.29298132294433,+104.29298132294433
,nyy,det,-0.36,det,nyy,5-4,1,,+100.0,-100.0
,pit,mia,-1.98,mia,mia,3-4,,1,+113.18769613268044,-113.18769613268044
,mil,phi,6.93,mil,mil,4-1,,3,-185.6583329551005,+185.6583329551005
,tb,min,3.27,tb,min,4-6,2,,-129.0593581309978,+129.0593581309978
,sea,sd,4.77,sea,sea,16-13,,2,-149.9405002753511,+149.9405002753511
,,,,,,,,
6-1-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,hou,-7.73,hou,hou,4-5,,3,+200.9444242876813,-200.9444242876813
