wsh,bos,78-111,129,-149
mia,ny,97-78,-126,110
cle,cha,95-90,-188,163
mil,orl,90-114,143,-163
utah,lac,102-91,173,-200
no,phx,120-114,145,-166
dal,sa,83-88,437,-555
mem,hou,102-93,144,-163
sac,mil,129-118,164,-192
atl,min,95-99,-153,135
bkn,okc,99-110,696,-999
phi,bos,80-84,628,-833
mia,det,81-104,106,-121
cle,tor,99-103,-153,134
wsh,cha,87-101,144,-166
ny,orl,91-100,104,-119
lal,gs,77-111,1591,-3333
chi,por,93-88,-147,127
lac,den,111-94,-294,245
bos,atl,97-121,120,-138
dal,mem,96-110,134,-153
ind,wsh,123-106,125,-144
okc,utah,111-89,108,-126
phx,sa,84-98,454,-588
det,mil,88-109,-147,127
phi,min,95-100,281,-344
ny,mia,78-95,177,-208
sac,cha,122-127,144,-166
orl,cle,103-117,336,-416
por,lal,107-93,-140,121
gs,den,118-105,-1111,724
dal,okc,114-117,138,-158
bos,bkn,101-111,-232,197
phx,no,116-122,-101,-113
tor,lac,91-80,227,-270
mem,sa,82-92,285,-344
ny,hou,107-102,159,-185
phi,mia,91-96,824,-1249
atl,cle,97-109,194,-227
wsh,det,97-95,-105,-109
mil,ind,86-123,177,-208
sac,orl,97-91,134,-156
chi,gs,94-106,363,-454
tor,lal,102-91,-277,233
lac,por,91-102,-172,150
phx,den,114-107,-151,131
utah,dal,93-102,102,-117
hou,mem,84-96,125,-144
det,min,96-86,-136,117
sa,no,90-104,-333,275
ny,okc,93-90,221,-263
bkn,bos,95-120,354,-434
phi,cha,88-113,521,-714
gs,lac,124-117,-222,187
mil,cle,100-115,503,-666
sac,mia,109-116,440,-555
chi,phx,103-97,127,-147
tor,utah,89-93,156,-181
den,sa,98-109,892,-1428
sac,atl,97-103,120,-138
por,hou,103-108,235,-285
no,okc,103-110,700,-999
dal,bos,106-102,168,-196
bkn,cha,111-116,223,-263
min,orl,101-104,174,-204
ind,phi,112-85,-277,236
tor,gs,110-115,424,-526
den,no,115-98,202,-238
atl,bkn,88-90,-188,163
cle,det,99-104,-196,168
min,mia,103-91,340,-416
cha,ny,94-102,-105,-109
mil,wsh,86-115,139,-161
lal,phx,101-120,557,-769
por,sa,80-93,702,-999
ind,chi,95-96,227,-270
bos,hou,111-95,169,-200
okc,mem,114-122,125,-144
dal,phi,92-86,-400,323
det,lal,85-97,-200,173
tor,sac,101-107,-129,112
bos,okc,100-85,183,-212
utah,atl,97-96,136,-158
por,cha,94-106,165,-192
mem,min,114-106,-188,164
no,ny,87-95,104,-120
bkn,gs,99-107,1474,-3333
den,phx,81-105,264,-322
cle,mil,105-108,-222,188
phi,sa,83-92,1625,-4999
dal,hou,110-98,274,-333
orl,wsh,99-108,192,-222
det,lac,96-101,118,-136
bkn,sac,109-111,225,-263
hou,den,98-107,-256,218
lal,dal,82-90,287,-344
cha,chi,97-102,235,-277
por,mem,100-101,233,-277
phi,okc,85-102,892,-1428
atl,bos,93-106,-117,102
cle,ny,90-84,-277,231
no,tor,81-100,442,-588
min,ind,103-107,266,-322
utah,orl,93-102,-116,100
lac,phx,104-118,104,-121
gs,min,129-116,-625,463
utah,mia,91-92,147,-169
sa,por,113-101,-270,224
det,sac,92-101,-125,106
mil,den,102-103,139,-161
no,atl,98-106,765,-1111
lac,dal,108-118,-294,243
bkn,hou,106-98,681,-999
gs,mem,100-84,-333,273
ind,bos,102-91,141,-163
ny,cha,93-95,221,-263
lal,orl,99-101,313,-384
tor,phi,119-103,-526,419
bos,mil,99-83,-133,114
cha,min,104-95,-161,139
dal,no,105-120,118,-136
lal,mia,88-101,577,-833
ny,tor,111-109,283,-344
utah,cle,114-118,206,-243
okc,wsh,125-101,-277,234
det,gs,95-109,788,-1249
mem,lac,92-94,258,-322
sa,sac,106-88,-344,280
por,den,104-108,-116,100
min,atl,117-107,334,-416
orl,ind,84-97,163,-188
chi,phi,111-88,-625,480
det,por,120-103,106,-125
phx,okc,103-124,337,-416
tor,mia,76-96,123,-142
ind,cle,97-101,311,-384
lal,ny,95-99,190,-227
hou,lac,109-105,187,-222
gs,sac,103-94,-1666,998
mem,utah,79-89,118,-138
no,dal,98-107,177,-208
bkn,mil,86-94,227,-270
cha,sa,94-114,422,-555
wsh,atl,99-114,171,-200
orl,phi,105-97,-156,134
min,chi,102-93,378,-500
den,gs,104-119,1739,-4999
hou,sac,116-110,-188,162
det,phx,100-92,163,-192
mia,ind,87-90,-108,-107
atl,no,121-115,-144,124
wsh,bos,98-118,100,-117
lal,bkn,104-98,134,-156
phi,cle,102-108,1086,-1999
mil,ny,99-92,106,-125
tor,orl,87-92,-243,202
mem,por,96-115,-178,152
utah,den,96-84,-147,125
cha,dal,108-94,154,-181
okc,chi,98-104,-105,-111
mia,min,96-84,-185,156
lac,gs,108-112,274,-333
sac,phx,97-118,396,-500
por,utah,108-92,227,-277
bkn,atl,87-101,260,-312
ny,cle,86-96,505,-666
orl,hou,114-119,355,-454
phi,mil,87-91,332,-416
tor,okc,103-98,313,-400
bos,ind,98-100,-131,112
sa,wsh,99-102,-178,154
den,lal,120-109,117,-135
mem,sac,103-89,-185,158
tor,dal,102-91,-129,112
orl,no,103-94,174,-204
ind,det,94-82,160,-188
atl,mia,98-92,147,-172
chi,cha,105-130,-178,152
mem,gs,69-119,382,-500
phx,lac,96-102,363,-454
okc,hou,105-110,-185,156
por,min,106-101,154,-181
mil,bkn,103-96,-116,-101
sa,ny,94-84,-333,271
cle,phi,107-100,-1249,824
dal,lal,103-93,-185,158
orl,chi,87-92,305,-384
den,okc,93-117,783,-1249
hou,mia,89-109,149,-172
mil,tor,87-106,206,-243
sa,bos,95-87,-243,206
atl,cha,94-92,-131,112
sac,lac,109-114,466,-625
phx,por,101-90,110,-128
bkn,mem,91-101,718,-1111
gs,no,134-120,-227,193
utah,ind,97-76,138,-161
ny,wsh,117-110,276,-333
por,phx,92-110,160,-188
lal,sac,114-132,250,-312
gs,hou,112-92,-116,100
min,den,95-78,141,-166
bkn,sa,75-102,977,-1666
cha,atl,94-97,154,-185
wsh,mil,118-113,-131,110
tor,bos,113-103,108,-126
chi,det,94-98,-149,125
mia,cle,92-102,188,-222
okc,orl,139-136,-357,293
utah,phi,99-71,-333,270
dal,lac,88-104,606,-833
atl,ny,112-101,-196,164
mem,ind,112-103,-149,127
min,lal,112-111,124,-144
dal,phx,111-95,202,-243
no,por,94-112,118,-138
