Date,Away,Home,Algo proj,Away proj,Home proj,Away odds,Home odds,Diff away,Diff home,Bet,To win,Won,Bet,To win,Won,Bet,To win,Won,Bet,To win,Won
2-11-2015,sacramento-kings,milwaukee-bucks,-74.69%,295,-295,428,-555,133,60,$100,$428.0,$0,,,,,,,$100,$428.0,$0
2-11-2015,new-york-knicks,orlando-magic,-51.6%,107,-107,202,-238,95,131,$100,$202.0,$0,,,,,,,$100,$202.0,$0
2-11-2015,washington-wizards,toronto-raptors,-61.76%,162,-162,171,-200,9,38,$100,$171.0,$0,,,,,,,,,
,,,,,,,,,,$1100,$-831.9230769230769,-75.62937062937063%,$400,$-131.9230769230769,-32.980769230769226%,$200,$-200,-100.0%,$800,$-680.0,-85.0%
,,,,,,,,,,,,,,,,,,,,,,,,
2-20-2015,toronto-raptors,atlanta-hawks,-67.12%,204,-204,188,-222,16,18,,,,,,,,,,,,
2-20-2015,boston-celtics,sacramento-kings,64.53%,-182,182,145,-169,127,151,$100,$145.0,$0,$100,$145.0,$0,$100,$145.0,$0,$100,$145.0,$0
2-20-2015,brooklyn-nets,los-angeles-lakers,51.88%,-108,108,-153,131,45,23,$100,$131.0,$0,,,,,,,,,
2-20-2015,chicago-bulls,detroit-pistons,70.38%,-238,238,-250,212,12,26,,,,,,,,,,,,
2-20-2015,cleveland-cavaliers,washington-wizards,-52.69%,111,-111,-156,134,67,45,$100,$134.0,$0,$100,$134.0,$0,$100,$134.0,$0,$100,$134.0,$0
2-20-2015,houston-rockets,dallas-mavericks,-56.86%,132,-132,119,-138,13,6,,,,,,,,,,,,
2-20-2015,denver-nuggets,milwaukee-bucks,-70.93%,244,-244,318,-400,74,156,$100,$318.0,$0,,,,,,,$100,$318.0,$0
2-20-2015,san-antonio-spurs,golden-state-warriors,-70.43%,238,-238,288,-357,50,119,$100,$288.0,$0,,,,,,,$100,$288.0,$0
2-20-2015,indiana-pacers,philadelphia-76ers,67.85%,-211,211,-416,330,5,119,$100,$330.0,$0,,,,,,,$100,$330.0,$0
2-20-2015,miami-heat,new-york-knicks,65.41%,-189,189,-312,259,123,70,$100,$259.0,$0,,,,,,,$100,$259.0,$0
2-20-2015,phoenix-suns,minnesota-timberwolves,73.22%,-273,273,106,-123,179,196,$100,$106.0,$0,$100,$106.0,$0,$100,$106.0,$0,$100,$106.0,$0
2-20-2015,new-orleans-pelicans,orlando-magic,64.76%,-184,184,-232,196,48,12,$100,$196.0,$296.0,,,,,,,,,
2-20-2015,portland-trail-blazers,utah-jazz,69.67%,-230,230,-196,166,34,64,$100,$51.02040816326531,$0,$100,$51.02040816326531,$0,,,,,,
,,,,,,,,,,$1000,$-704.0,-70.39999999999999%,$400,$-400,-100.0%,$300,$-300,-100.0%,$700,$-700,-100.0%
,,,,,,,,,,,,,,,,,,,,,,,,
2-21-2015,oklahoma-city-thunder,charlotte-hornets,62.41%,-166,166,-181,154,15,12,,,,,,,,,,,,
2-21-2015,phoenix-suns,chicago-bulls,-60.48%,153,-153,307,-384,154,31,$100,$307.0,$0,,,,,,,$100,$307.0,$0
2-21-2015,toronto-raptors,houston-rockets,60.42%,-153,153,112,-131,65,84,$100,$112.00000000000001,$0,$100,$112.00000000000001,$0,$100,$112.00000000000001,$0,$100,$112.00000000000001,$0
2-21-2015,sacramento-kings,los-angeles-clippers,-78.48%,365,-365,433,-588,68,23,$100,$433.0,$0,,,,,,,$100,$433.0,$0
2-21-2015,new-orleans-pelicans,miami-heat,-51.02%,104,-104,112,-131,8,27,$100,$112.00000000000001,$212.0,,,,,,,,,
,,,,,,,,,,$400,$-188.0,-47.0%,$100,$-100,-100.0%,$100,$-100,-100.0%,$300,$-300,-100.0%
,,,,,,,,,,,,,,,,,,,,,,,,
2-22-2015,atlanta-hawks,milwaukee-bucks,53.72%,-116,116,-212,179,96,63,$100,$179.0,$0,,,,,,,$100,$179.0,$0
2-22-2015,boston-celtics,los-angeles-lakers,62.59%,-167,167,-153,131,14,36,$100,$65.359477124183,$0,$100,$65.359477124183,$0,,,,,,
2-22-2015,charlotte-hornets,dallas-mavericks,-68.28%,215,-215,403,-526,188,111,$100,$403.0,$0,,,,,,,$100,$403.0,$0
2-22-2015,cleveland-cavaliers,new-york-knicks,78.95%,-375,375,-4999,1682,4424,1107,$100,$1682.0,$0,,,,,,,$100,$1682.0,$0
2-22-2015,denver-nuggets,oklahoma-city-thunder,-78.45%,364,-364,336,-416,28,52,,,,,,,,,,,,
2-22-2015,washington-wizards,detroit-pistons,62.04%,-163,163,-135,117,28,46,$100,$74.07407407407408,$0,$100,$74.07407407407408,$0,,,,,,
2-22-2015,golden-state-warriors,indiana-pacers,77.25%,-340,340,-175,150,165,190,$100,$57.142857142857146,$0,$100,$57.142857142857146,$0,,,,$100,$57.142857142857146,$0
2-22-2015,memphis-grizzlies,portland-trail-blazers,-62.51%,167,-167,104,-123,63,44,$100,$81.30081300813008,$0,$100,$81.30081300813008,$0,,,,,,
2-22-2015,philadelphia-76ers,orlando-magic,-60.02%,150,-150,342,-434,192,84,$100,$342.0,$0,,,,,,,$100,$342.0,$0
,,,,,,,,,,$800,$-800,-100.0%,$400,$-400,-100.0%,$0,$0,0%,$500,$-500,-100.0%
,,,,,,,,,,,,,,,,,,,,,,,,
2-23-2015,boston-celtics,phoenix-suns,-66.16%,196,-196,297,-370,101,174,$100,$297.0,$397.0,,,,,,,$100,$297.0,$397.0
2-23-2015,brooklyn-nets,denver-nuggets,56.05%,-128,128,-135,116,7,12,,,,,,,,,,,,
2-23-2015,milwaukee-bucks,chicago-bulls,-50.31%,101,-101,252,-303,151,2,$100,$252.0,$0,,,,,,,$100,$252.0,$0
2-23-2015,minnesota-timberwolves,houston-rockets,-80.45%,412,-412,311,-384,101,28,$100,$26.041666666666668,$126.04166666666667,$100,$26.041666666666668,$126.04166666666667,,,,,,
2-23-2015,memphis-grizzlies,los-angeles-clippers,-52.25%,109,-109,139,-161,30,52,$100,$139.0,$239.0,,,,,,,,,
2-23-2015,philadelphia-76ers,miami-heat,-65.96%,194,-194,562,-769,168,375,$100,$562.0,$0,,,,,,,$100,$562.0,$0
2-23-2015,toronto-raptors,new-orleans-pelicans,62.03%,-163,163,-322,264,159,101,$100,$264.0,$364.0,,,,,,,$100,$264.0,$364.0
2-23-2015,san-antonio-spurs,utah-jazz,64.98%,-186,186,-232,197,46,11,$100,$197.0,$297.0,,,,,,,,,
,,,,,,,,,,$700,$723.0416666666665,103.29166666666664%,$100,$26.04166666666667,26.041666666666675%,$0,$0,0%,$400,$361.0,90.25%
,,,,,,,,,,,,,,,,,,,,,,,,
