4-1-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,cbj,cgy,-0.2,cgy,cbj,3-2,1,,+100.0,-100.0
,nyr,car,23.18,nyr,nyr,3-2,,8,-1368.5041514551901,+1368.5041514551901
,chi,dal,19.21,chi,dal,0-4,7,,-722.346221905131,+722.346221905131
,phi,edm,2.8,phi,edm,4-5,1,,-123.0707137222454,+123.0707137222454
,van,la,-7.78,la,van,4-1,3,,+201.94208152790748,-201.94208152790748
,stl,min,2.66,stl,min,3-6,1,,-121.3337243542223,+121.3337243542223
,sj,mtl,0.26,sj,mtl,0-2,1,,-100.0,+100.0
,nyi,nj,4.65,nyi,nyi,3-0,,2,-148.16309523718343,+148.16309523718343
,tor,ott,-26.6,ott,ott,3-5,,9,+3235.9569483086902,-3235.9569483086902
,wsh,wpg,8.42,wsh,wpg,0-3,3,,-215.18372020138963,+215.18372020138963
,,,,,,,,
3-20-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,col,ana,-9.31,ana,ana,2-3,,4,+235.17048290291913,-235.17048290291913
,nj,buf,8.4,nj,nj,3-1,,3,-214.756238779523,+214.756238779523
,det,tb,-15.24,tb,tb,1-3,,6,+440.37927419991803,-440.37927419991803
,,,,,,,,
3-19-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,col,ari,22.03,col,col,5-2,,8,-1111.0528356768928,+1111.0528356768928
,bos,ott,-2.09,ott,ott,4-6,,1,+114.47363845816305,-114.47363845816305
,phi,cgy,-14.72,cgy,cgy,1-4,,5,+415.19058885733057,-415.19058885733057
,car,mtl,-17.24,mtl,mtl,0-4,,6,+558.5600960207722,-558.5600960207722
,cbj,van,-12.89,van,cbj,6-2,5,,+339.94579119522206,-339.94579119522206
,pit,dal,6.65,pit,dal,1-2,3,,-180.59352265826368,+180.59352265826368
,det,fla,6.29,det,fla,1-3,3,,-174.2849475133554,+174.2849475133554
,wsh,min,-10.6,min,wsh,3-2,4,,+267.89047865125,-267.89047865125
,sj,tor,14.54,sj,sj,4-1,,5,-406.90768455917754,+406.90768455917754
,stl,wpg,14.87,stl,wpg,1-2,5,,-422.26003739912005,+422.26003739912005
,,,,,,,,
3-18-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,la,ana,-10.02,ana,ana,2-3,,4,+252.5834003386889,-252.5834003386889
,chi,nyr,-6.72,nyr,chi,1-0,3,,+181.8464967941875,-181.8464967941875
,cbj,edm,8.07,cbj,cbj,4-3,,3,-207.83201021941466,+207.83201021941466
,,,,,,,,
3-17-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,buf,bos,-29.1,bos,buf,2-1,10,,+3746.1538461538544,-3746.1538461538544
,stl,cgy,3.44,stl,stl,4-0,,2,-131.28706192739318,+131.28706192739318
,ott,car,4.0,ott,ott,2-1,,2,-138.86837336863385,+138.86837336863385
,nyi,chi,-3.92,chi,chi,1-4,,2,+137.76188999268095,-137.76188999268095
,mtl,fla,5.76,mtl,mtl,3-2,,2,-165.39215524379514,+165.39215524379514
,min,nsh,5.5,min,min,3-2,,2,-161.19296033019944,+161.19296033019944
,pit,nj,6.63,pit,nj,0-2,3,,-180.23712766216192,+180.23712766216192
,phi,van,-15.82,van,van,1-4,,6,+470.89089803503236,-470.89089803503236
,sj,wpg,5.48,sj,wpg,2-5,2,,-160.8742403227609,+160.8742403227609
,,,,,,,,
3-16-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,la,-23.49,la,la,0-1,,8,+1454.315557144411,-1454.315557144411
,wsh,buf,18.34,wsh,wsh,4-3,,7,-642.6250305505141,+642.6250305505141
,tor,edm,6.09,tor,edm,1-4,3,,-170.87531552376066,+170.87531552376066
,mtl,tb,-10.63,tb,tb,2-4,,4,+268.71060691955904,-268.71060691955904
,,,,,,,,
3-15-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,nsh,ana,-8.86,ana,ana,2-4,,3,+224.82374145905158,-224.82374145905158
,bos,wsh,2.92,bos,wsh,0-2,1,,-124.57644328287114,+124.57644328287114
,car,cbj,1.18,car,car,3-2,,1,-104.18409224312417,+104.18409224312417
,stl,dal,10.47,stl,stl,3-0,,4,-264.3696340104955,+264.3696340104955
,det,pit,-9.94,pit,det,5-1,4,,+250.55100077550154,-250.55100077550154
,fla,nyr,-20.74,nyr,nyr,1-2,,7,+901.9592770763467,-901.9592770763467
,phi,ott,-15.3,ott,ott,1-2,,6,+443.4126313247188,-443.4126313247188
,,,,,,,,
3-14-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,nj,ari,10.52,nj,nj,4-1,,4,-265.71748814674004,+265.71748814674004
,bos,pit,-5.01,pit,bos,2-0,2,,+153.55527537871532,-153.55527537871532
,nyr,buf,31.99,nyr,nyr,2-0,,10,-3746.1538461538544,+3746.1538461538544
,cgy,col,5.15,cgy,col,2-3,2,,-155.7016155063212,+155.7016155063212
,fla,car,-4.15,car,fla,2-0,2,,+140.96471164349586,-140.96471164349586
,chi,sj,3.5,chi,chi,6-2,,2,-132.08134626282177,+132.08134626282177
,det,phi,2.35,det,phi,2-7,1,,-117.5613329347196,+117.5613329347196
