8/1/2003,tor,home,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,,,,
8/2/2003,tor,home,1,6,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,
8/3/2003,tor,home,0,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
8/5/2003,ana,away,9,10,0,2,3,1,1,2,0,0,0,0,0,7,0,2,0,1,0,0,,,,
8/6/2003,ana,away,2,4,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,1,0,,,,
8/7/2003,ana,away,3,9,0,0,1,1,0,1,0,0,0,0,6,1,0,0,0,1,1,0,,,,
8/8/2003,ana,away,5,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,,,,
8/9/2003,ana,away,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
8/10/2003,ana,away,1,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,
8/11/2003,cws,home,10,8,0,1,1,0,1,0,0,1,4,0,1,1,0,1,2,1,4,0,,,,
8/12/2003,cws,home,4,10,2,1,0,3,0,0,4,0,0,0,1,1,1,0,0,0,1,0,,,,
8/13/2003,cws,home,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,
8/14/2003,cws,home,5,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,,,,
8/15/2003,det,home,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,,,,
8/16/2003,det,home,11,7,0,1,4,0,0,0,0,0,2,0,0,1,0,6,0,3,1,0,,,,
8/17/2003,det,home,11,6,1,0,0,2,0,0,1,2,0,0,2,0,2,0,2,5,0,0,,,,
8/18/2003,ana,away,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,,,,
8/19/2003,ana,away,2,5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,4,0,0,,,,
8/20/2003,ana,away,3,5,0,1,0,0,0,0,2,0,0,0,2,1,0,1,0,1,0,0,,,,
8/21/2003,ana,away,10,7,1,1,1,0,1,1,2,0,3,0,0,0,5,0,0,0,1,1,,,,
8/22/2003,ana,away,6,5,1,1,0,1,2,1,0,0,0,2,0,0,1,0,2,0,0,0,,,,
8/23/2003,ana,away,14,8,0,0,0,0,0,0,4,3,1,6,3,0,0,2,0,0,1,2,0,0,,
8/24/2003,ana,away,9,10,3,2,0,0,1,0,0,3,0,2,2,1,0,2,0,0,1,2,,,,
8/26/2003,min,home,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,
8/27/2003,min,home,5,4,0,1,0,0,1,1,1,0,0,2,0,1,0,0,1,1,0,0,,,,
8/28/2003,min,home,1,6,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,,,,
