,lac,bos,59.28468833580247,lac,lac,,2,119-106
,lal,bkn,-60.93573742222222,bkn,bkn,,3,99-107
,phi,cle,-81.44653857777777,cle,cle,,7,86-87
,dal,ind,55.01687678024691,dal,ind,2,,99-104
,det,mia,-59.69680741728396,mia,mia,,2,102-109
,hou,wsh,50.38727008395062,hou,hou,,1,99-91
,mem,sa,-56.20988419753087,sa,sa,,2,89-103
,min,no,-72.62956395061728,no,no,,5,88-110
,okc,phx,-51.30856888888889,phx,okc,1,,109-97
,,,,,,,,
3-28-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,cha,65.99331544691358,atl,cha,4,,100-115
,ny,chi,-76.28131333333333,chi,chi,,6,80-111
,den,por,-68.3080002469136,por,por,,4,114-120
,gs,mil,63.20310492839507,gs,gs,,3,108-95
,okc,utah,52.25852389135802,okc,utah,1,,89-94
,,,,,,,,
3-27-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,mia,atl,-68.40004222222223,atl,atl,,4,86-99
,bos,ny,66.76906172839506,bos,bos,,4,96-92
,cle,bkn,63.69814329876544,cle,bkn,3,,98-106
,cha,wsh,-59.02606400987654,wsh,wsh,,2,107-110
,dal,sa,-59.530378083950616,sa,sa,,2,76-94
,utah,den,53.24440320000001,utah,den,1,,91-107
,det,orl,54.390636533333335,det,det,,1,111-97
,gs,mem,55.97355959506173,gs,gs,,2,107-84
,min,hou,-76.75333426172838,hou,hou,,6,110-120
,lac,phi,70.12751129876543,lac,lac,,5,119-98
,lal,tor,-70.23471141728395,tor,tor,,5,83-94
,sac,no,-61.46222400987654,no,no,,3,88-102
,por,phx,50.80741580246912,por,por,,1,87-81
,,,,,,,,
3-26-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ind,mil,-54.96295191111111,mil,mil,,1,107-111
,,,,,,,,
3-25-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,orl,67.76704830617284,atl,atl,,4,95-83
,mia,bos,-59.41364178765431,bos,mia,2,,93-86
,bkn,cha,-51.28756267654321,cha,bkn,1,,91-88
,chi,tor,-52.49660618271605,tor,chi,1,,116-103
,cle,mem,-56.10693555555555,mem,cle,2,,111-89
,phi,den,-64.64292238024692,den,phi,3,,99-85
,hou,no,52.144684977777786,hou,hou,,1,95-93
,ind,wsh,-58.82412835555556,wsh,ind,2,,103-101
,lac,ny,74.40404919506173,lac,lac,,5,111-80
,lal,min,-51.27562345679012,min,lal,1,,101-99
,okc,sa,-60.138152602469134,sa,sa,,3,91-130
,sac,phx,-65.43352949135802,phx,sac,4,,108-99
,por,utah,51.42537813333334,por,por,,1,92-89
,,,,,,,,
3-24-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,sa,dal,-51.8726383308642,dal,dal,,1,94-101
,tor,det,57.30055440987654,tor,det,2,,104-108
,gs,por,53.0339463111111,gs,gs,,1,122-108
,lal,okc,-76.3095800888889,okc,okc,,6,117-127
,mia,mil,-55.01069546666666,mil,mil,,2,88-89
,phi,sac,-62.54500888888889,sac,sac,,3,106-107
,,,,,,,,
3-23-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,bos,bkn,-50.4685177382716,bkn,bos,1,,110-91
,cha,chi,-56.3257189728395,chi,chi,,2,86-98
,wsh,gs,-75.30048092839505,gs,gs,,6,76-107
,hou,ind,54.18099070617284,hou,hou,,1,110-100
,mem,ny,72.47657055802469,mem,mem,,5,103-82
