Date,Away,Home,Algo proj,Away proj,Home proj,Away odds,Home odds,Diff away,Diff home,Bet,To win,Won
,,,,,,,,,,,,,,,
7-7-2012,los-angeles-dodgers,arizona-diamondbacks,50.03%,-100,100,139,-161,39,61,$100,$139.0,$0
7-7-2012,atlanta-braves,philadelphia-phillies,54.88%,-122,122,-105,-111,17,33,$100,$95.23809523809524,$195.23809523809524
7-7-2012,baltimore-orioles,los-angeles-angels,-54.26%,119,-119,146,-169,27,50,$100,$146.0,$0
7-7-2012,new-york-yankees,boston-red-sox,53.96%,-117,117,119,-135,36,52,$100,$119.0,$219.0
7-7-2012,chicago-cubs,new-york-mets,-58.85%,143,-143,125,-144,18,1
7-7-2012,toronto-blue-jays,chicago-white-sox,-54.03%,118,-118,127,-144,9,26,$100,$127.0,$0
7-7-2012,cincinnati-reds,san-diego-padres,57.84%,-137,137,-113,-103,24,40,$100,$88.49557522123895,$188.49557522123894
7-7-2012,tampa-bay-rays,cleveland-indians,-50.2%,101,-101,-112,-103,13,2
7-7-2012,colorado-rockies,washington-nationals,-59.09%,144,-144,184,-212,40,68,$100,$184.0,$0
7-7-2012,kansas-city-royals,detroit-tigers,-52.52%,111,-111,134,-156,23,45,$100,$134.0,$0
7-7-2012,milwaukee-brewers,houston-astros,55.69%,-126,126,-153,133,27,7,$100,$133.0,$233.0
7-7-2012,minnesota-twins,texas-rangers,-59.36%,146,-146,175,-204,29,58,$100,$175.0,$0
7-7-2012,seattle-mariners,oakland-athletics,-54.97%,122,-122,127,-147,5,25,$100,$127.0,$227.0
7-7-2012,san-francisco-giants,pittsburgh-pirates,-54.34%,119,-119,100,-116,19,3,$100,$86.20689655172414,$186.20689655172413
,,,,,,,,,,$1200,$48.94056701105842,4.078380584254869%,$0,$0,0%
,,,,,,,,,,,,,,,
7-13-2012,arizona-diamondbacks,chicago-cubs,56.12%,-128,128,-133,114,5,14
7-13-2012,new-york-mets,atlanta-braves,52.14%,-109,109,131,-151,40,60,$100,$131.0,$0
7-13-2012,detroit-tigers,baltimore-orioles,52.93%,-112,112,-108,-107,4,19,$100,$92.59259259259258,$192.59259259259258
7-13-2012,boston-red-sox,tampa-bay-rays,51.13%,-105,105,-103,-111,2,16,$100,$97.08737864077669,$197.0873786407767
7-13-2012,chicago-white-sox,kansas-city-royals,57.41%,-135,135,-114,100,21,35,$100,$87.71929824561404,$187.71929824561403
7-13-2012,cleveland-indians,toronto-blue-jays,-50.68%,103,-103,112,-129,9,26,$100,$112.00000000000001,$212.0
7-13-2012,philadelphia-phillies,colorado-rockies,50.44%,-102,102,-156,136,54,34,$100,$136.0,$236.0
7-13-2012,houston-astros,san-francisco-giants,-62.18%,164,-164,173,-200,9,36,$100,$173.0,$0
7-13-2012,los-angeles-angels,new-york-yankees,-52.8%,112,-112,110,-128,2,16
7-13-2012,san-diego-padres,los-angeles-dodgers,-57.68%,136,-136,172,-200,36,64,$100,$172.0,$0
7-13-2012,washington-nationals,miami-marlins,57.31%,-134,134,110,-128,44,62,$100,$110.00000000000001,$210.0
7-13-2012,pittsburgh-pirates,milwaukee-brewers,53.37%,-114,114,129,-149,43,63,$100,$129.0,$0
7-13-2012,oakland-athletics,minnesota-twins,55.93%,-127,127,117,-136,44,63,$100,$117.0,$217.0
7-13-2012,texas-rangers,seattle-mariners,58.31%,-140,140,-151,129,11,11
,,,,,,,,,,$1100,$352.39926947898334,32.03629722536212%,$0,$0,0%
,,,,,,,,,,,,,,,
7-14-2012,arizona-diamondbacks,chicago-cubs,50.23%,-101,101,104,-120,5,21,$100,$104.0,$0
7-14-2012,new-york-mets,atlanta-braves,-50.56%,102,-102,100,-116,2,14
7-14-2012,detroit-tigers,baltimore-orioles,53.61%,-116,116,-133,114,17,2
